module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
858,47,23,45,21,4002,0.171681,0.021277,0.000000,0.042553,0.000000,0.000000,0.042553,0.021277,0.872340,0.71140000000000000000,0.43613166753642096135,0.68615692153923038481
859,58,29,56,28,15214,0.012702,0.017241,0.000000,0.034483,0.000000,0.000000,0.017241,0.017241,0.913793,0.72590000000000000000,0.42572571997243636234,0.69133692651505192586
861,22,8,20,8,296,0.213026,0.045455,0.000000,0.136364,0.000000,0.045455,0.136364,0.000000,0.636364,0.62500000000000000000,0.39504738504738504739,0.65202702702702702703
862,2,1,2,1,60,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.55555555555555555556,1.00000000000000000000
863,47,25,44,25,3229,0.146042,0.021277,0.000000,0.042553,0.000000,0.000000,0.021277,0.021277,0.893617,0.70520000000000000000,0.44038059052454118396,0.69990709197894084856
864,5,2,5,2,294,\N,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.50000000000000000000,0.44642857142857142857,0.90816326530612244898
866,24,12,23,11,1996,0.204640,0.083333,0.000000,0.041667,0.000000,0.041667,0.041667,0.041667,0.750000,0.62200000000000000000,0.35146735586249880962,0.52304609218436873747
867,1,1,1,1,204,0.832353,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
874,39,12,39,10,662,0.486932,0.000000,0.000000,0.025641,0.000000,0.025641,0.051282,0.102564,0.794872,0.78380000000000000000,0.32346218346218346218,0.39577039274924471299
875,17,7,15,8,356,0.255980,0.117647,0.000000,0.235294,0.117647,0.058824,0.058824,0.000000,0.411765,0.20000000000000000000,0.26717836257309941520,0.25561797752808988764
876,7,1,7,1,6,\N,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.571429,1.00000000000000000000,0.46153846153846153846,1.00000000000000000000
877,12,4,11,4,774,0.968410,0.083333,0.083333,0.166667,0.000000,0.083333,0.000000,0.083333,0.500000,0.57140000000000000000,0.34769616348563716985,0.59689922480620155039
878,20,6,19,6,330,\N,0.100000,0.050000,0.100000,0.050000,0.050000,0.050000,0.100000,0.500000,0.25000000000000000000,0.28643016923368537698,0.32727272727272727273
879,31,10,30,10,1897,0.774921,0.000000,0.032258,0.064516,0.032258,0.032258,0.064516,0.000000,0.774194,0.42420000000000000000,0.28013924558802378351,0.64997364259356879283
880,19,8,18,8,55,0.788941,0.052632,0.210526,0.052632,0.105263,0.105263,0.000000,0.000000,0.473684,0.53330000000000000000,0.33425925925925925926,0.34545454545454545455
882,23,6,20,8,1300,0.799644,0.000000,0.043478,0.086957,0.217391,0.043478,0.000000,0.086957,0.521739,0.30770000000000000000,0.22763157894736842105,0.46384615384615384615
884,31,9,30,10,5188,0.837654,0.096774,0.096774,0.064516,0.064516,0.000000,0.032258,0.000000,0.645161,0.28570000000000000000,0.17571776239008836632,0.19101773323053199692
885,48,16,46,17,1570,0.111160,0.020833,0.000000,0.062500,0.000000,0.020833,0.020833,0.020833,0.854167,0.65270000000000000000,0.34077535918021747981,0.52484076433121019108
886,1,0,0,1,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
887,12,2,12,5,11,\N,0.083333,0.000000,0.166667,0.166667,0.083333,0.000000,0.000000,0.500000,0.36360000000000000000,0.34564959696538643907,0.72727272727272727273
