module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
590,23,7,23,7,17402,0.823218,294,0.000000,0.043478,0.086957,0.000000,0.043478,0.000000,0.043478,0.782609,0.61540000000000000000,0.39886168693186237046,0.57797954258131249282,TRUE
591,13,5,13,3,381,0.758851,413,0.000000,0.000000,0.153846,0.076923,0.153846,0.153846,0.076923,0.384615,0.72730000000000000000,0.31002024291497975709,0.69553805774278215223,TRUE
592,7,3,7,2,1192,0.032414,280,0.000000,0.000000,0.285714,0.000000,0.142857,0.142857,0.000000,0.428571,0.63640000000000000000,0.34335357624831309042,0.55285234899328859060,TRUE
593,10,4,9,4,208,1.000000,18427,0.200000,0.000000,0.100000,0.100000,0.100000,0.100000,0.200000,0.200000,0.25000000000000000000,0.25000000000000000000,0.25000000000000000000,TRUE
594,5,2,4,2,846,0.989120,104,0.200000,0.000000,0.000000,0.200000,0.200000,0.000000,0.400000,0.000000,0.66670000000000000000,0.50000000000000000000,0.50000000000000000000,TRUE
596,16,7,16,6,335,,1264,0.062500,0.062500,0.125000,0.125000,0.125000,0.187500,0.062500,0.250000,0.61540000000000000000,0.25320512820512820513,0.40298507462686567164,TRUE
597,6,2,6,2,223,0.129696,106,0.000000,0.000000,0.333333,0.000000,0.166667,0.000000,0.000000,0.500000,0.85710000000000000000,0.44288606130711393869,0.98206278026905829596,TRUE
598,22,7,22,6,1129,0.469780,551,0.000000,0.045455,0.090909,0.136364,0.136364,0.000000,0.000000,0.590909,0.44440000000000000000,0.22583135818429936077,0.34543844109831709477,TRUE
599,21,9,21,7,273,0.668216,55,0.190476,0.000000,0.095238,0.047619,0.047619,0.047619,0.095238,0.476190,0.33330000000000000000,0.14732916657258762522,0.56043956043956043956,TRUE
600,17,5,17,5,194,0.779300,0,0.176471,0.000000,0.117647,0.000000,0.000000,0.000000,0.117647,0.588235,0.38460000000000000000,0.15844022672421795229,0.71134020618556701031,TRUE
601,26,7,24,8,196,0.111142,70,0.038462,0.115385,0.038462,0.115385,0.038462,0.000000,0.115385,0.538462,0.46150000000000000000,0.15008383429436061015,0.35204081632653061224,TRUE
602,46,16,45,17,1418,0.483345,2660,0.021739,0.043478,0.000000,0.065217,0.021739,0.108696,0.043478,0.695652,0.37500000000000000000,0.28636695967467269123,0.17912552891396332863,TRUE
603,13,3,13,3,75,0.665274,48,0.153846,0.076923,0.000000,0.000000,0.000000,0.000000,0.230769,0.538462,0.50000000000000000000,0.35369318181818181818,0.41333333333333333333,TRUE
605,12,4,12,4,546,0.918296,210,0.000000,0.000000,0.166667,0.166667,0.083333,0.083333,0.000000,0.500000,0.58330000000000000000,0.30069930069930069930,0.55677655677655677656,FALSE
606,3,1,3,1,175,0.987570,284,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.333333,0.000000,1.00000000000000000000,0.48846153846153846154,1.00000000000000000000,FALSE
607,18,7,18,5,1934,0.898159,394,0.000000,0.000000,0.111111,0.166667,0.055556,0.055556,0.000000,0.611111,0.57140000000000000000,0.27366863905325443787,0.83660806618407445708,FALSE
608,7,3,7,3,6972,0.968209,408,0.000000,0.000000,0.285714,0.142857,0.142857,0.142857,0.000000,0.285714,0.72730000000000000000,0.36089743589743589744,0.70438898450946643718,TRUE
609,10,4,10,4,1115,,216,0.000000,0.100000,0.200000,0.100000,0.200000,0.000000,0.000000,0.400000,0.54550000000000000000,0.29423076923076923077,0.72645739910313901345,FALSE
610,3,1,3,1,260,1.000000,203,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.333333,0.000000,1.00000000000000000000,0.48846153846153846154,1.00000000000000000000,FALSE
611,4,2,3,2,44,0.730926,255,0.000000,0.000000,0.500000,0.000000,0.250000,0.250000,0.000000,0.000000,0.83330000000000000000,0.40705128205128205128,0.79545454545454545455,TRUE
612,10,3,10,2,149,,292,0.000000,0.000000,0.100000,0.100000,0.100000,0.200000,0.100000,0.400000,0.85710000000000000000,0.34890109890109890110,0.34899328859060402685,FALSE
613,10,3,10,3,541,,902,0.000000,0.000000,0.200000,0.100000,0.100000,0.000000,0.000000,0.600000,0.75000000000000000000,0.30528846153846153846,0.98521256931608133087,TRUE
614,9,3,8,3,287,0.993606,68,0.000000,0.000000,0.222222,0.111111,0.222222,0.111111,0.000000,0.333333,0.71430000000000000000,0.34890109890109890110,0.43902439024390243902,FALSE
615,3,1,1,1,410,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.333333,0.333333,0.000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,TRUE
616,3,1,3,1,644,0.959848,0,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.333333,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,TRUE
617,16,6,16,6,738,0.984386,216,0.062500,0.062500,0.125000,0.125000,0.187500,0.062500,0.125000,0.250000,0.37500000000000000000,0.16300366300366300366,0.21815718157181571816,FALSE
618,9,3,9,2,30,0.996792,112,0.000000,0.000000,0.111111,0.111111,0.222222,0.000000,0.333333,0.222222,0.66670000000000000000,0.21367521367521367521,0.50000000000000000000,FALSE
619,11,4,11,3,259,0.999903,199,0.000000,0.000000,0.181818,0.090909,0.090909,0.272727,0.000000,0.363636,0.75000000000000000000,0.34020979020979020979,0.44401544401544401544,FALSE
620,10,3,10,3,39,,296,0.000000,0.000000,0.200000,0.100000,0.100000,0.200000,0.000000,0.400000,0.75000000000000000000,0.34890109890109890110,0.89743589743589743590,FALSE
621,15,5,15,5,490,,550,0.000000,0.066667,0.133333,0.133333,0.133333,0.000000,0.000000,0.533333,0.53850000000000000000,0.24519230769230769231,0.43469387755102040816,TRUE
622,11,4,11,3,754,0.982551,259,0.000000,0.000000,0.181818,0.090909,0.272727,0.090909,0.000000,0.363636,0.70000000000000000000,0.29681429681429681430,0.61273209549071618037,TRUE
623,14,5,14,4,60,,3147,0.071429,0.000000,0.142857,0.071429,0.214286,0.071429,0.214286,0.214286,0.50000000000000000000,0.23245614035087719298,0.26666666666666666667,TRUE
624,10,4,10,3,203,,633,0.000000,0.000000,0.200000,0.100000,0.100000,0.200000,0.100000,0.300000,0.72730000000000000000,0.30384615384615384615,0.42857142857142857143,FALSE
625,12,5,12,3,111,0.779417,198,0.000000,0.000000,0.166667,0.083333,0.166667,0.166667,0.000000,0.416667,0.70000000000000000000,0.26002024291497975709,0.63063063063063063063,FALSE
626,10,4,10,2,76,1.000000,290,0.000000,0.000000,0.100000,0.100000,0.400000,0.000000,0.200000,0.200000,0.80000000000000000000,0.29615384615384615385,0.36842105263157894737,FALSE
627,11,3,11,3,520,0.957647,188,0.000000,0.000000,0.181818,0.090909,0.090909,0.000000,0.000000,0.636364,0.72730000000000000000,0.32756410256410256410,0.97692307692307692308,FALSE
628,12,5,12,4,810,0.414480,191,0.000000,0.000000,0.166667,0.166667,0.083333,0.000000,0.000000,0.583333,0.64290000000000000000,0.32988165680473372781,0.92592592592592592593,TRUE
629,29,11,28,10,130,0.560950,79,0.034483,0.103448,0.068966,0.137931,0.034483,0.068966,0.068966,0.482759,0.33330000000000000000,0.13784008551810409396,0.32307692307692307692,TRUE
631,1,0,0,1,0,,73,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
632,1,0,0,1,0,,17,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,FALSE
634,30,11,27,11,369,0.585187,28,0.033333,0.000000,0.100000,0.033333,0.000000,0.100000,0.000000,0.733333,0.60530000000000000000,0.38343964420887497811,0.37127371273712737127,TRUE
635,47,16,46,15,997,0.527841,599,0.021277,0.000000,0.042553,0.021277,0.021277,0.000000,0.021277,0.872340,0.65970000000000000000,0.32474084954901234366,0.67803410230692076229,TRUE
639,19,6,18,6,130,0.363046,53,0.052632,0.052632,0.105263,0.105263,0.000000,0.052632,0.105263,0.526316,0.36360000000000000000,0.28717320261437908497,0.53076923076923076923,TRUE
640,30,11,29,8,334,0.141215,14,0.066667,0.000000,0.066667,0.000000,0.000000,0.033333,0.000000,0.833333,0.72920000000000000000,0.42964303821446678590,0.65269461077844311377,TRUE
641,23,7,23,8,2076,0.649816,0,0.086957,0.000000,0.000000,0.000000,0.043478,0.043478,0.000000,0.826087,0.80520000000000000000,0.46949694864919778415,0.57658959537572254335,TRUE
642,24,7,24,4,273,0.251432,15,0.041667,0.000000,0.041667,0.000000,0.041667,0.083333,0.041667,0.750000,0.86960000000000000000,0.40906210191924477639,0.58608058608058608059,TRUE
643,44,16,42,18,591,0.208309,18,0.022727,0.000000,0.045455,0.000000,0.022727,0.022727,0.000000,0.886364,0.76270000000000000000,0.50654464427434989433,0.69712351945854483926,TRUE
644,31,12,31,13,223,0.283533,21,0.064516,0.064516,0.129032,0.032258,0.000000,0.096774,0.032258,0.580645,0.21210000000000000000,0.17531849278172807585,0.23318385650224215247,TRUE
645,39,14,37,14,8636,0.849422,203,0.051282,0.000000,0.025641,0.000000,0.000000,0.076923,0.000000,0.846154,0.26670000000000000000,0.29947605632556172464,0.43260768874478925428,TRUE
646,7,2,7,2,86,,40,0.142857,0.000000,0.142857,0.000000,0.142857,0.000000,0.571429,0.000000,0.66670000000000000000,0.25609756097560975610,0.53488372093023255814,FALSE
648,49,25,46,24,10805,0.489149,30,0.020408,0.000000,0.040816,0.000000,0.020408,0.040816,0.020408,0.857143,0.68300000000000000000,0.40303499739171195226,0.47524294308190652476,TRUE
649,9,3,8,4,73,,246,0.222222,0.000000,0.000000,0.222222,0.000000,0.000000,0.111111,0.444444,0.58330000000000000000,0.45351362928337556443,0.79452054794520547945,TRUE
650,42,15,41,12,2949,0.391381,57,0.047619,0.000000,0.047619,0.000000,0.047619,0.000000,0.023810,0.833333,0.66990000000000000000,0.38257402370245673951,0.57341471685317056629,TRUE
651,24,9,21,11,279,0.778859,15,0.083333,0.000000,0.083333,0.041667,0.041667,0.083333,0.041667,0.625000,0.27270000000000000000,0.18313791261888147701,0.47670250896057347670,TRUE
652,47,22,45,22,5005,0.047641,30,0.021277,0.000000,0.042553,0.000000,0.000000,0.021277,0.021277,0.893617,0.72390000000000000000,0.45260820729195635855,0.71648351648351648352,TRUE
655,62,27,60,28,13132,0.023271,43,0.016129,0.000000,0.032258,0.000000,0.000000,0.016129,0.016129,0.919355,0.68850000000000000000,0.40244742282214610562,0.67072799268961315870,TRUE
656,47,22,45,22,4298,0.204719,28,0.021277,0.000000,0.042553,0.000000,0.000000,0.042553,0.021277,0.872340,0.72510000000000000000,0.45295667635598609121,0.65006979990693345742,TRUE
657,50,24,48,24,7469,0.453951,30,0.040000,0.000000,0.020000,0.000000,0.000000,0.020000,0.020000,0.900000,0.70320000000000000000,0.42240666398212331513,0.49805864238853929576,TRUE
658,4,1,4,1,176,,1008,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.500000,0.000000,1.00000000000000000000,0.56410256410256410256,1.00000000000000000000,TRUE
659,11,2,8,4,242,0.398037,206,0.090909,0.000000,0.000000,0.272727,0.000000,0.000000,0.272727,0.363636,0.50000000000000000000,0.42862637362637362637,0.99173553719008264463,TRUE
660,21,3,20,4,1980,0.735789,255,0.047619,0.000000,0.047619,0.095238,0.000000,0.000000,0.047619,0.761905,0.80000000000000000000,0.52511903129550188374,0.95808080808080808081,FALSE
661,26,5,26,4,3269,0.749311,304,0.038462,0.000000,0.038462,0.000000,0.000000,0.038462,0.076923,0.807692,0.77270000000000000000,0.47906461263604120747,0.87274395839706332212,FALSE
662,43,18,41,20,4292,0.165820,35,0.023256,0.000000,0.046512,0.000000,0.023256,0.046512,0.000000,0.860465,0.62450000000000000000,0.38064889663493371720,0.62628145386766076421,TRUE
663,15,6,14,4,424,,171,0.000000,0.133333,0.133333,0.000000,0.000000,0.066667,0.333333,0.333333,0.70000000000000000000,0.35205363330363330363,0.53301886792452830189,TRUE
664,35,14,34,11,892,0.473187,17,0.028571,0.000000,0.057143,0.028571,0.000000,0.057143,0.028571,0.800000,0.69280000000000000000,0.38771907730800548217,0.55493273542600896861,TRUE
665,6,2,6,2,68,0.822244,154,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.500000,0.75000000000000000000,0.53096198156682027650,0.88235294117647058824,TRUE
666,10,3,10,3,80,0.937089,795,0.200000,0.000000,0.000000,0.100000,0.100000,0.000000,0.300000,0.300000,0.40000000000000000000,0.29824249165739710790,0.73750000000000000000,TRUE
668,2,1,2,1,1,,52,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,1.00000000000000000000,0.70000000000000000000,1.00000000000000000000,FALSE
670,47,18,45,16,3074,0.267787,27,0.021277,0.000000,0.042553,0.021277,0.021277,0.021277,0.021277,0.851064,0.67980000000000000000,0.36459654996739395716,0.46389069616135328562,TRUE
671,5,1,5,1,2,0.000000,0,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.400000,1.00000000000000000000,0.44444444444444444444,1.00000000000000000000,TRUE
673,46,24,43,24,6228,0.378827,29,0.021739,0.000000,0.043478,0.000000,0.000000,0.043478,0.021739,0.869565,0.70600000000000000000,0.44784912523424262675,0.55796403339755940912,TRUE
674,39,14,38,11,1781,0.277915,28,0.025641,0.000000,0.076923,0.025641,0.025641,0.051282,0.025641,0.769231,0.68420000000000000000,0.37168226768660490536,0.63447501403705783268,TRUE
675,10,3,10,3,2161,,0,0.100000,0.000000,0.200000,0.000000,0.000000,0.000000,0.300000,0.400000,0.60000000000000000000,0.55741935483870967742,0.99490976399814900509,TRUE
679,26,11,23,11,3271,0.561961,301,0.000000,0.076923,0.192308,0.153846,0.000000,0.115385,0.000000,0.461538,0.26670000000000000000,0.30888891809944441523,0.19413023540201773158,TRUE
680,24,6,23,6,370,0.571002,26,0.041667,0.041667,0.166667,0.000000,0.041667,0.041667,0.041667,0.625000,0.37500000000000000000,0.21192517492827090350,0.33243243243243243243,TRUE
681,34,15,34,14,4199,0.157864,32,0.029412,0.000000,0.029412,0.000000,0.029412,0.000000,0.029412,0.882353,0.78020000000000000000,0.43522463576064723841,0.73922362467254108121,TRUE
683,19,7,17,7,411,0.478432,168,0.157895,0.052632,0.052632,0.105263,0.000000,0.000000,0.105263,0.526316,0.30000000000000000000,0.20538720538720538721,0.32360097323600973236,FALSE
684,45,23,42,23,6407,0.248575,63,0.022222,0.000000,0.044444,0.000000,0.000000,0.044444,0.022222,0.866667,0.69450000000000000000,0.42603644254114818851,0.67301389105665678165,TRUE
685,47,20,45,20,1843,0.134456,19,0.042553,0.000000,0.021277,0.000000,0.000000,0.021277,0.021277,0.893617,0.76210000000000000000,0.48604300957496281187,0.72599023331524688009,TRUE
686,11,4,10,4,32,0.543564,266,0.181818,0.000000,0.090909,0.090909,0.090909,0.090909,0.090909,0.363636,0.42860000000000000000,0.45315315315315315315,0.37500000000000000000,TRUE
687,14,6,14,3,460,0.513409,174,0.071429,0.071429,0.071429,0.000000,0.142857,0.000000,0.142857,0.500000,0.54550000000000000000,0.27691883406169120455,0.33260869565217391304,FALSE
688,17,5,17,4,376,0.835604,174,0.117647,0.000000,0.117647,0.000000,0.117647,0.000000,0.176471,0.470588,0.35290000000000000000,0.21646947950085601907,0.67553191489361702128,FALSE
690,55,27,53,27,7449,0.087008,33,0.018182,0.000000,0.036364,0.000000,0.000000,0.018182,0.018182,0.909091,0.69500000000000000000,0.40799065956787053745,0.65458450798764934891,FALSE
691,56,28,54,27,5622,0.124796,30,0.017857,0.000000,0.035714,0.000000,0.000000,0.017857,0.017857,0.910714,0.68990000000000000000,0.39992266937481081704,0.64105300604766986837,TRUE
693,9,2,7,4,100,,312,0.111111,0.000000,0.222222,0.111111,0.000000,0.111111,0.444444,0.000000,0.33330000000000000000,0.26666666666666666667,0.66000000000000000000,FALSE
694,18,9,18,8,6336,0.447956,474,0.111111,0.055556,0.166667,0.111111,0.000000,0.055556,0.055556,0.444444,0.23080000000000000000,0.22238828502415458937,0.34375000000000000000,TRUE
695,47,16,44,18,4203,0.861747,113,0.042553,0.021277,0.000000,0.021277,0.021277,0.063830,0.000000,0.829787,0.43400000000000000000,0.31363121594005895633,0.18391625029740661432,TRUE
696,18,5,17,6,39,0.499763,29,0.111111,0.111111,0.055556,0.055556,0.000000,0.055556,0.111111,0.500000,0.44440000000000000000,0.33556985294117647059,0.58974358974358974359,TRUE
697,2,1,2,1,3,,351,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,TRUE
698,53,23,52,25,1000,0.706792,13,0.000000,0.000000,0.037736,0.000000,0.018868,0.075472,0.018868,0.849057,0.68400000000000000000,0.39149006461368248188,0.39500000000000000000,TRUE
701,54,24,53,24,1090,0.299260,36,0.000000,0.000000,0.037037,0.000000,0.018519,0.055556,0.018519,0.870370,0.68960000000000000000,0.41648940159900828794,0.54036697247706422018,TRUE
702,43,19,41,21,6401,0.126239,42,0.023256,0.000000,0.046512,0.000000,0.023256,0.046512,0.000000,0.860465,0.61920000000000000000,0.37541227081435200713,0.63661927823777534760,TRUE
703,9,2,9,2,1665,,0,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.555556,0.50000000000000000000,0.50000000000000000000,0.66666666666666666667,FALSE
710,10,2,10,2,298,0.978851,0,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.400000,0.400000,0.50000000000000000000,0.23076923076923076923,0.99328859060402684564,TRUE
711,47,21,45,22,4825,0.392187,474,0.021277,0.000000,0.042553,0.000000,0.042553,0.042553,0.000000,0.851064,0.60730000000000000000,0.35115470789981554358,0.47875647668393782383,FALSE
712,60,29,58,28,12403,0.419686,36,0.033333,0.000000,0.016667,0.000000,0.000000,0.050000,0.016667,0.883333,0.67720000000000000000,0.37606401338157297995,0.45585745384181246473,TRUE
