module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
664,4,2,4,2,223,0.964886,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.80000000000000000000,0.38431372549019607843,0.66816143497757847534
665,4,2,4,2,516,0.977924,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.80000000000000000000,0.38431372549019607843,0.71705426356589147287
666,4,2,4,2,440,0.886776,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.80000000000000000000,0.38431372549019607843,0.79318181818181818182
667,8,2,7,3,343,\N,0.250000,0.000000,0.000000,0.125000,0.000000,0.000000,0.125000,0.500000,0.75000000000000000000,0.58978318250377073906,0.78425655976676384840
668,17,4,17,4,5485,0.702954,0.117647,0.058824,0.000000,0.000000,0.000000,0.058824,0.176471,0.588235,0.60000000000000000000,0.40469047619047619048,0.54056517775752051048
671,6,2,6,2,50,0.501154,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.50000000000000000000,0.25675675675675675676,0.50000000000000000000
672,6,2,6,2,40,\N,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.500000,0.80000000000000000000,0.42430555555555555556,0.62500000000000000000
673,26,5,26,5,273,\N,0.076923,0.000000,0.000000,0.115385,0.000000,0.076923,0.115385,0.615385,0.76670000000000000000,0.33637566137566137566,0.36263736263736263736
674,26,7,24,9,29,\N,0.115385,0.115385,0.000000,0.115385,0.038462,0.000000,0.115385,0.500000,0.50000000000000000000,0.28855431061313414255,0.48275862068965517241
676,17,5,17,3,425,\N,0.058824,0.000000,0.058824,0.058824,0.058824,0.058824,0.294118,0.411765,0.86360000000000000000,0.35555555555555555556,0.53882352941176470588
677,10,2,8,3,46,\N,0.100000,0.100000,0.000000,0.100000,0.000000,0.000000,0.400000,0.300000,0.71430000000000000000,0.50833333333333333333,0.86956521739130434783
