module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1673,14,4,14,4,27,,276,0.142857,0.071429,0.071429,0.000000,0.000000,0.000000,0.071429,0.642857,0.75000000000000000000,0.53591172580143168378,0.74074074074074074074,FALSE
1674,11,3,11,3,1053,0.965610,0,0.181818,0.090909,0.000000,0.000000,0.000000,0.000000,0.181818,0.545455,0.75000000000000000000,0.50009920634920634921,0.72269705603038936372,FALSE
1675,13,3,13,3,762,,0,0.230769,0.000000,0.000000,0.000000,0.000000,0.000000,0.230769,0.538462,0.71430000000000000000,0.45569561157796451914,0.62992125984251968504,FALSE
1676,10,2,10,2,1236,0.625016,0,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.300000,0.500000,0.83330000000000000000,0.57420634920634920635,0.72491909385113268608,FALSE
1677,20,7,19,8,439,0.965951,0,0.100000,0.000000,0.150000,0.150000,0.000000,0.000000,0.100000,0.500000,0.47370000000000000000,0.31347947208454454831,0.53758542141230068337,FALSE
1678,12,4,12,4,33,0.918296,0,0.250000,0.083333,0.000000,0.000000,0.000000,0.000000,0.083333,0.583333,0.72730000000000000000,0.53657407407407407407,0.72727272727272727273,FALSE
1679,12,4,12,4,114,,0,0.250000,0.083333,0.000000,0.000000,0.000000,0.000000,0.083333,0.583333,0.70000000000000000000,0.53657407407407407407,0.71052631578947368421,FALSE
1680,12,4,12,4,114,,0,0.250000,0.083333,0.000000,0.000000,0.000000,0.000000,0.083333,0.583333,0.70000000000000000000,0.53657407407407407407,0.71052631578947368421,FALSE
1681,18,4,18,6,18,,0,0.166667,0.055556,0.055556,0.055556,0.000000,0.000000,0.055556,0.611111,0.40000000000000000000,0.31835171568627450980,0.44444444444444444444,FALSE
1682,16,4,16,5,20,,0,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.187500,0.500000,0.33330000000000000000,0.26613562091503267974,0.40000000000000000000,FALSE
1683,22,7,22,7,143,0.484323,0,0.090909,0.000000,0.090909,0.136364,0.090909,0.000000,0.090909,0.500000,0.42110000000000000000,0.21513951734539969834,0.32167832167832167832,FALSE
1684,16,4,16,5,30,,0,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.187500,0.500000,0.33330000000000000000,0.26613562091503267974,0.40000000000000000000,FALSE
1685,16,4,16,5,25,,0,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.187500,0.500000,0.33330000000000000000,0.26613562091503267974,0.40000000000000000000,FALSE
1686,16,4,16,5,10,,0,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.187500,0.500000,0.33330000000000000000,0.26613562091503267974,0.40000000000000000000,FALSE
1687,16,4,16,5,10,,0,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.187500,0.500000,0.33330000000000000000,0.26613562091503267974,0.40000000000000000000,FALSE
1688,23,7,23,8,133,0.384992,0,0.173913,0.043478,0.043478,0.086957,0.043478,0.000000,0.086957,0.521739,0.35000000000000000000,0.17312091503267973856,0.33082706766917293233,FALSE
1689,18,4,18,6,13,,0,0.166667,0.055556,0.055556,0.055556,0.000000,0.000000,0.055556,0.611111,0.40000000000000000000,0.31835171568627450980,0.46153846153846153846,FALSE
1690,16,4,16,5,10,,0,0.250000,0.000000,0.062500,0.000000,0.000000,0.000000,0.187500,0.500000,0.33330000000000000000,0.26613562091503267974,0.40000000000000000000,FALSE
1691,17,4,17,5,121,0.167568,0,0.235294,0.000000,0.000000,0.058824,0.000000,0.000000,0.176471,0.529412,0.36360000000000000000,0.28297930283224400871,0.47933884297520661157,FALSE
1692,16,4,16,4,284,0.910805,0,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.187500,0.562500,0.57140000000000000000,0.37265406162464985994,0.73591549295774647887,FALSE
1693,23,5,23,6,783,0.727134,57,0.086957,0.043478,0.043478,0.086957,0.000000,0.000000,0.130435,0.608696,0.47620000000000000000,0.35394216803530529021,0.55810983397190293742,FALSE
1694,14,4,14,4,132,,0,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.571429,0.46150000000000000000,0.30793650793650793651,0.48484848484848484848,FALSE
1695,19,4,19,4,103,0.477248,781,0.157895,0.000000,0.052632,0.000000,0.000000,0.000000,0.157895,0.631579,0.50000000000000000000,0.21522366522366522367,0.42718446601941747573,FALSE
1696,23,8,23,8,619,0.455387,833,0.086957,0.000000,0.130435,0.000000,0.043478,0.086957,0.043478,0.608696,0.40910000000000000000,0.16100603070175438596,0.40064620355411954766,FALSE
1697,18,5,18,5,78,0.961237,240,0.222222,0.055556,0.000000,0.000000,0.000000,0.000000,0.222222,0.500000,0.50000000000000000000,0.19144620811287477954,0.41025641025641025641,FALSE
1698,21,6,21,5,111,,151,0.142857,0.095238,0.000000,0.000000,0.000000,0.000000,0.095238,0.666667,0.56250000000000000000,0.23343065361619812263,0.45045045045045045045,FALSE
1699,10,3,10,3,1024,0.829175,36,0.100000,0.000000,0.200000,0.000000,0.000000,0.000000,0.400000,0.300000,0.40000000000000000000,0.30000000000000000000,0.99414062500000000000,FALSE
1700,10,3,10,3,875,0.576707,0,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.300000,0.40000000000000000000,0.30000000000000000000,0.40000000000000000000,FALSE
