module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
19,9,2,7,3,204,\N,0.111111,0.000000,0.111111,0.111111,0.000000,0.111111,0.333333,0.222222,0.40000000000000000000,0.33333333333333333333,0.61764705882352941176
21,38,13,35,13,613,0.800637,0.052632,0.000000,0.052632,0.000000,0.000000,0.078947,0.052632,0.763158,0.40630000000000000000,0.29496676163342830009,0.32626427406199021207
22,39,12,36,14,366,0.715564,0.025641,0.025641,0.051282,0.051282,0.025641,0.076923,0.025641,0.717949,0.34620000000000000000,0.13094098883572567783,0.38797814207650273224
23,78,38,76,32,13096,0.529148,0.012821,0.000000,0.025641,0.025641,0.000000,0.012821,0.025641,0.897436,0.19770000000000000000,0.16972004844640811800,0.70074832009773976787
24,117,69,109,42,30141,0.643491,0.000000,0.000000,0.017094,0.025641,0.000000,0.042735,0.017094,0.897436,0.28720000000000000000,0.21013294669506365151,0.24345575793769284363
25,40,13,40,11,3319,0.801180,0.075000,0.025000,0.025000,0.000000,0.050000,0.025000,0.025000,0.775000,0.32560000000000000000,0.18062676461574966689,0.32509792106056040976
26,4,1,4,1,6,\N,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.25000000000000000000,1.00000000000000000000
27,21,9,19,4,800,0.798896,0.047619,0.000000,0.000000,0.142857,0.047619,0.095238,0.000000,0.666667,0.78570000000000000000,0.45299948589422273633,0.40875000000000000000
30,78,40,72,30,15175,0.396675,0.000000,0.000000,0.038462,0.025641,0.000000,0.012821,0.038462,0.884615,0.35000000000000000000,0.26874282002082141913,0.74939044481054365733
34,3,1,3,1,44,0.156491,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,1.00000000000000000000,0.50634920634920634921,1.00000000000000000000
35,19,5,17,6,1417,0.945713,0.052632,0.000000,0.052632,0.210526,0.105263,0.000000,0.052632,0.526316,0.28570000000000000000,0.21609195402298850575,0.72547635850388143966
38,25,11,22,8,327,0.618111,0.120000,0.080000,0.120000,0.000000,0.000000,0.080000,0.080000,0.520000,0.35710000000000000000,0.15694134614736586714,0.29663608562691131498
39,44,22,39,17,10722,0.513284,0.022727,0.000000,0.068182,0.022727,0.000000,0.113636,0.045455,0.727273,0.30230000000000000000,0.18358084816418149751,0.34359261331841074426
42,21,7,19,6,63,0.834312,0.095238,0.000000,0.142857,0.047619,0.047619,0.142857,0.047619,0.476190,0.33330000000000000000,0.26547619047619047619,0.31746031746031746032
43,36,16,34,12,10655,0.664098,0.027778,0.000000,0.055556,0.000000,0.000000,0.083333,0.055556,0.777778,0.51110000000000000000,0.31318342151675485009,0.66278742374472078836
45,21,6,21,6,918,0.611007,0.047619,0.000000,0.095238,0.142857,0.047619,0.047619,0.095238,0.523810,0.33330000000000000000,0.21953046953046953047,0.38997821350762527233
47,11,3,10,2,8,\N,0.090909,0.000000,0.090909,0.000000,0.090909,0.090909,0.272727,0.363636,0.66670000000000000000,0.31871345029239766082,0.50000000000000000000
48,28,9,26,8,4935,0.315029,0.035714,0.000000,0.071429,0.178571,0.000000,0.142857,0.107143,0.464286,0.38460000000000000000,0.23932780182780182780,0.32340425531914893617
50,9,2,7,2,18,\N,0.111111,0.000000,0.000000,0.111111,0.000000,0.111111,0.444444,0.222222,0.50000000000000000000,0.42857142857142857143,0.88888888888888888889
53,7,2,6,3,138,\N,0.142857,0.000000,0.000000,0.000000,0.142857,0.000000,0.571429,0.142857,0.90910000000000000000,0.26666666666666666667,0.55072463768115942029
54,3,1,2,1,119,0.996334,0.000000,0.000000,0.333333,0.000000,0.000000,0.333333,0.333333,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000
58,3,1,3,1,7,1.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,1.00000000000000000000,0.93333333333333333333,1.00000000000000000000
60,8,2,8,2,13,0.619382,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.84615384615384615385
61,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
62,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
63,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
64,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
65,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
66,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
67,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
68,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
69,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
70,8,2,8,2,21,0.453716,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.90476190476190476190
71,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
72,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
73,8,2,8,2,7,0.863121,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.250000,0.66670000000000000000,0.30555555555555555556,0.71428571428571428571
